Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Joel and Tom are magical.,ansharora-12638,n/a,15/08/2025,"At first, I thought, ""man, should have shown a little more backstory, why so much hate among the family and whatever"". But then I understood, that would have made it just another family drama movie, which it cannot be. This movie is about the raw unsaid emotion of a family that always remains there. No matter what.Joel was perfect in the role as a passionate, loving and fierce boxer and family man. Hardy was also great in the little convulated army-disgraced man who just wanted to do right by his fallen comrade. Nick Nolte did most of the magic with his eyes. And the last 20 minutes of the movie can make any grown man AND woman cry.Cheers.",False
2,9,Oh my god,Vuraxis,n/a,15/08/2025,"I'm hard to break when it comes to emotions. I've seen a lot of the best emotional films. Schindler's List, Forrest Gump, Grave of the Fireflies, Requiem for a Dream, The Green Mile, It's a Wonderful Life, and most recently I Lost my Body. But this is the one that finally cracked me, and for the first time in my life, I've cried to a movie. I don't even like sports, but the sheer intensity and stress I felt in the fight scenes is overwhelming.Dear god this is a masterpiece.",False
3,9,Not just for fight fans...,FloppyMeatball,n/a,15/08/2025,"SpoilerMy girlfriend took me to an advance screening of Warrior because I'm an MMA enthusiast. She told me she did not expect much. She ended up leaving the theater in tears.The fighting in the movie is almost an after thought. What the movie is really about is a broken family trying to get on with their lives. You have a recently sober father trying to earn the forgiveness of his sons for destroying his family years earlier, one son trying to provide for his wife and children, and the other son trying to earn money for the family of his friend and fellow Marine who died overseas. All of it comes together seamlessly and provides for a truly gripping movie.It's emotional without being sappy. It's funny without being goofy. It's inspirational without going over the top. It's hard to say anything bad about it. Even if you have no interest in martial arts, you will get something out of this movie.I highly recommend this movie for men AND women, fight fans and average Joes alike.",True
4,10,A different interpretation of the ending.,Keith_545,n/a,15/08/2025,"SpoilerPlease don't read this if you don't want the ending given away.I've noticed a lot of people complaining that the ending spoils the film and is clichéd because the underdog and not the better fighter wins.I'm not suggesting that my interpretation is the right one but my view is somewhat different than the one some people hold. It is perfectly logical to point out that Brendan had hard fights to get to the final and that he would probably have been exhausted and that Tommy has had a much easier route.However, the point is that he made that route easier because of his rage. Tommy is only the more destructive force because of that. His demons are driving him on because he is lost. He cannot or will not reach out to connect with his father or brother. The point is that the dam is broken when he sees his father in the hotel room raging against Ahab. This is deeply symbolic. I think you are meant to draw the connection with Ahab who was driven by his own rage with the rage of the father which destroyed his family to the rage which Tommy now feels. Even though he is drunk it is no coincidence that his father refers to Tommy as Ahab and bellows at him to stop the ship. At the point that Tommy takes him in his arms and holds him he begins the healing process but loses what makes him such a formidable fighter. Thus he is simply unable to blow his brother away in the way that he has done to every other opponent.The other crucial point (and you would have to be a younger brother to fully get this one) is that Tommy doesn't really want to beat his brother at that point. He needs to know that his brother loves him and perhaps that he regrets not reaching out to him when they were younger. The fact that he taps out only at the point when Brendan says he loves him is significant as is the fact that he breaks down in the corner before the final round. Had he still been carrying his rage he would surely rather have been rendered unconscious than submit.In other words, for me it was the perfect ending and the more you think about the film the more profound it seems.All in my view of course. Which could be a load of old rubbish.",True
5,10,A great film,kell-bailey,n/a,15/08/2025,"Just saw a sneak peek of Warrior. All I can saw is WOW! Great film. Great performances. The characters are deep and believable and the story will probably have you leaving the theater in tears.The fight scenes were done really well. I've been cage side at hundreds of MMA fights as a photographer and believe me when I say this is some of the most realistically portrayed MMA action I've seen to date on film.Tom Hardy, Joel Edgerton, Jennifer Morrison and Nick Nolte all give good performances and I think Nick Nolte had a couple of moments in the film that should be considered Oscar worthy.I know a lot of people won't agree with me on this and I can understand, but Warrior has bumped Rocky out of my top 5 favorite movies of all time. IMHO (which some of you will consider worthless) I think it's that good.",False
6,9,"Emotions on par with The Fighter, one of the top combat sport movies since Rocky, one of the best of 2011",neji107,n/a,15/08/2025,"Every so often you'll come across a combat sport movie that manages to find just the right balance of drama and action – that is, more drama than action. When fights are justified with backstories full of crushing emotion, they become all the more intense and gratifying.Warrior brings to the table the world of mixed martial arts, where punches, kicks, holds, and everything else goes. The inception of new international tournament ""Sparta"" puts on a collision course Paddy (Nick Nolte), Brendan (Joel Edgerton), and Tom Conlon (Tom Hardy), all part of an estranged family torn apart in the past by abuse, favoritism, and abandonment. Tom resurfaces in society to enlist the help of his formerly alcoholic father Paddy to train him for the tournament, while at the same time Brendan revisits his UFC training in hopes to win the $5 million purse for his struggling family. The two underdogs face some of the toughest MMA fighters on the planet, but the true struggle appears to lie within them. Paddy battles for forgiveness against the resentment of his sons, Tom fights to prove to himself that he is strong, and Brendan struggles to come to terms with his older family while trying to support one of his own.The fantastic thing here is two protagonists entering the same tournament. Each brother has his own respectable reasons for fighting, a fact that is sure to divide the audience when it comes time to choose which one to root for. The story truly is gut-wrenchingly powerful and presented in an engaging fashion. Little by little through the film's dialogue, we are allowed a glimpse into the past hardships of the Conlon family, and the characters' motivations for retaining such hatred are revealed gradually. Through the incredible acting talents of Tom Hardy, Joel Edgerton, and Nick Nolte, this confused and passionate chemistry really comes alive. All three actors put up some of the most convincing and heartbreaking performances of their careers; and seeing as how The Fighter garnered so many Oscar nominations, I can't see why Warrior will not do the same. My only beef with the movie is its clichéd climax and rather bleak inconclusive ending, though it still does good to the emotional schism the movie intended to create.Warrior is one of those sports films with a magical mixture of emotional and physical battle. It's a wonderful story showing how sometimes the world's strongest forces are insignificant in comparison to the troubles of a scarred family. Warrior is without a doubt worth a visit to the theater. One of the best of 2011! And whether you're an MMA fan or not, the adrenaline-pumping fights will have you up and cheering and applauding.9/10",False
7,n/a,"A wonderfully, well written story",n/a,n/a,15/08/2025,"This movie is truly, truly OUTSTANDING! I am in complete shock over the performances in this film. Nick Nolte, as usual, gives a gritty, gut wrenching, emotional performance that left me buckling at the knees. One of my all time favorite movies of Mr. Nolte was Rich Man, Poor Man, absolutely a god given talent! The performances of Mr. Hardy and Mr. Edgeron were academy award winning, I would love to see more of them by far! I cried throughout the movie, and when it was over, I could not wait to tell everyone about it. A terrific ensemble cast and movie that certainly should be up for Best Picture!! A definitive Oscar nod for Nick Nolte, and if it were up to me, Mr. Hardy and Mr. Edgeron would walk away with one as well! If you have not seen this movie, drop what you are doing, run to your nearest theater. This movie is truly what being a performer is all about! My hat is off to you all!!!",False
8,10,FANTASTIC MOVIE...can't believe it hasn't gotten more attention. 10/10,nyUconn,n/a,15/08/2025,"Grab your popcorn, buy your soda..and get ready for a great movie.From start to finish, this movie will have you hooked. There is no weak spot in this movie. The acting is amazing. The story is great. The music is catchy. You will get emotionally invested throughout this story.This movie will make you FEEL something. This movie will ENTERTAIN you.This film has great drama, action, and story. I walked out of the movie being so impressed, and in shock how this hadn't gotten more attention or done better at the box office.This movie is a MUST SEE. And I'm pretty picky. Enjoy.",False
9,10,"""The devil you know is better than the devil you don't.""",classicsoncall,n/a,15/08/2025,"SpoilerThere aren't many fight movies I'd rate as high as a '10', and by fight movies I'm talking about boxing as the subject. ""Rocky"" and ""Million Dollar Baby"" are the only two I can think of off hand. But this movie transcends the genre and is so much more than a film about a pair of brothers reaching for the gold ring in the arena of mixed martial arts. There's a lot of human drama on display, and the three principals in the story pull off some of the most incredible performances one is likely to see in a film like this.I was taken aback a bit by the number of other reviewers on this board who admitted to shedding a tear over parts of the story line. Some of the scenes affected me the same way and it's a little difficult to explain why, but the characters are so anguished and real that one can relate to them on some visceral level. I was especially heartened to see how the students of Sparta High School got behind their physics teacher, Brendan Conlon (Joel Edgerton) during the War at the Shore. That just showed a whole lot of loyalty and civic pride for the school to turn out the way they did.The entire backdrop to the fight story of course is the anguished and disrupted home life of Paddy Conlon (Nick Nolte), an alcoholic on the mend approaching a thousand days of sobriety, but with the inability to connect with the sons who abandoned him. I was a little surprised that the resolution to the story didn't involve Nolte's character engaging more purposefully with either Brendan or Tommy (Tom Hardy). It's left open ended, just as Tommy's status with the military is left open ended, though if you follow your instincts, the outcomes wouldn't necessarily be rewarding.As for the fight scenes, I'd have to go on record stating that this movie has the best edited action in the ring I've ever seen. Though the pace is often relentless, none of it looks staged or phony, a credit to all the players involved and the principal photographer. Regarding the outcome of the final match, well before ring time one's brain scrambles trying to guess the outcome, as this is one film and one battle where you don't want either brother to lose, and you can't imagine the twist that will make the final verdict worthwhile. I won't spoil it here either, you'll just have to see and judge it for yourself.",True
10,10,A powerful masterpiece about desperate men,severindringel,n/a,15/08/2025,"Tom Hardy and Joel Edgerton feud as estranged brothers at the Pentagon. Nick Nolte plays a rehabilitating father with deep-seated demons. From these dynamics emerges a family drama that on the surface dances to the usual Rocky schema - but again, not at all. Warrior is, in fact, a very special sports film. Not just because of its specific sport (MMA is unlikely to play a role on the big screen anytime soon), but the storytelling of how director Gavin O'Connor manages to weave together the emotional facets of this masculine world.For both Tom Hardy and especially Joel Edgerton, this film was their big breakthrough. Since then, Hollywood has been hot on their heels for almost everything. After seeing this flick, one has to honestly say that this is totally fine. Although I don't think too much of Edgerton's rather stoic and monotonous acting, he fits the role of Brendan perfectly. A ""reasonable"" family man with clear principles, but who has never lost his passion for fighting from his younger years. Even more on the nail, however, is Hardy's embodiment of his character Tommy. Although he is actually sullen and taciturn for the entire 130 minutes of running time (just a typical Hardy), you always have the feeling that there is so much more to this loveless-looking person. When you learn more about his background in the second half of the film, the other character traits clearly come into play. In that respect, Hardy was of course given the more interesting and diverse character, but his rousing performance never really makes you dislike this fundamentally unlikable person after all. The acting masterpiece of the film, however, goes to the account of a gentleman who had long been considered an icon in Hollywood at that time: Nick Nolte. After he had disappeared into oblivion for some time before, Nolte returns here in absolute top form. The role of the recovering alcoholic is tailor-made for Nolte. He plays everything from totally grumpy and distant to empathetic and highly emotional, and in the final part he provides one of the most memorable individual scenes in recent memory, at least in my opinion. You understand this man, want to hug him for his crumbling relationship with his sons, but can still understand why they want to avoid him.At first glance, the film's unwinding seems generic and genre-oriented. However, if you venture beneath the surface and get involved with the not-uncomplex plot, you are completely caught off guard and left wondering. If I weren't a cold hearted person when it comes to crying at movies, I probably would have shed enough water for ten. Warrior gives you so much more than just half-naked men beating the crap out of each other in a pointless martial art. It's about passion, revenge and reconciliation. These elements are conveyed by O'Connor and the cast in such an incredibly authentic and profound way that you almost can't believe that the declared genre of this film is ""sports movie"". Rather, it is a breathtaking roller coaster of emotions with a lot of heart with an admittedly slightly exaggerated ending.",False
